Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.76103E-12,0.000000001,0.000000004,0.999285714,0,0
4.21206E-12,0.000000003,0.000000006,0.998714286,0,0
8.16671E-12,0.00000001,0.000000012,0.997,0,0
2.18329E-11,0.000000027,0.000000032,0.995428571,0,0
4.86947E-11,0.000000104,0.000000071,0.992428571,0,0
6.65985E-11,0.000000255,0.000000097,0.988714286,0,0
1.33757E-10,0.000001012,0.000000195,0.977142857,0,0
2.52981E-10,0.000002515,0.000000368,0.966285714,0,0
5.83693E-10,0.000010009,0.000000849,0.940285714,0,0
1.16413E-9,0.00002511,0.000001694,0.914857143,0,0
2.16383E-9,0.000050118,0.000003149,0.892142857,0,0
6.01247E-9,0.000100547,0.000008749,0.873285714,0,0
1.58571E-8,0.000250212,0.000023073,0.852714286,0.038461538,0
2.92345E-8,0.000502048,0.000042538,0.836571429,0.038461538,0
5.41721E-8,0.001004975,0.000078821,0.818571429,0.038461538,0
1.14141E-7,0.00250762,0.000166062,0.792142857,0.038461538,0
2.15521E-7,0.005018716,0.000313511,0.769857143,0.038461538,0
3.69096E-7,0.010032518,0.000536792,0.745857143,0.038461538,0
7.1542E-7,0.025031801,0.001039941,0.705571429,0.038461538,0
1.28979E-6,0.050013387,0.001873286,0.669428571,0.038461538,0
2.37959E-6,0.100132477,0.003450641,0.629142857,0.038461538,0
4.42749E-6,0.200038456,0.006401304,0.586428571,0.038461538,0
6.42348E-6,0.300355481,0.009260397,0.559857143,0.038461538,0
8.20115E-6,0.400692306,0.011792946,0.540142857,0.038461538,0
1.02427E-5,0.500349217,0.014685548,0.524714286,0.038461538,0
1.19783E-5,0.600385827,0.017131345,0.511857143,0.038461538,0
1.36181E-5,0.700393947,0.019430954,0.500714286,0.038461538,0
1.43637E-5,0.750906936,0.020473072,0.495571429,0.038461538,0
1.50155E-5,0.800892483,0.021382197,0.490714286,0.038461538,0
1.63215E-5,0.901524652,0.023198808,0.481571429,0.038461538,0
1.75938E-5,1.00150355,0.024962087,0.473142857,0.038461538,0
1.8699E-5,1.101140512,0.026488608,0.465285714,0.038461538,0
1.99084E-5,1.201726686,0.028153554,0.457857143,0.038461538,0
2.13346E-5,1.301049182,0.030109675,0.451,0.038461538,0
2.28608E-5,1.400128662,0.032194271,0.444571429,0.038461538,0
2.38263E-5,1.500809132,0.033508456,0.438428571,0.038461538,0
