Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.71358E-12,0.000000001,0.000000002,0.999,0,0
2.84297E-12,0.000000003,0.000000004,0.998,0,0
9.46258E-12,0.000000011,0.000000012,0.995857143,0,0
1.64117E-11,0.000000026,0.000000021,0.994285714,0,0
3.29387E-11,0.000000101,0.000000042,0.990142857,0,0
4.78559E-11,0.000000253,0.00000006,0.984857143,0,0
1.18348E-10,0.000001007,0.00000015,0.971142857,0,0
2.04129E-10,0.000002507,0.000000258,0.957857143,0,0
5.3206E-10,0.000010008,0.000000672,0.927428571,0,0
1.12762E-9,0.000025074,0.000001425,0.900285714,0,0
2.67267E-9,0.000050147,0.000003377,0.879142857,0,0
6.66654E-9,0.000100096,0.000008423,0.862857143,0,0
1.50467E-8,0.000251242,0.00001901,0.842,0.038461538,0
2.64532E-8,0.000501615,0.000033421,0.824428571,0.038461538,0
5.24249E-8,0.001001785,0.000066231,0.805285714,0.038461538,0
1.15418E-7,0.002510727,0.000145801,0.778,0.038461538,0
2.15014E-7,0.005013768,0.00027158,0.755714286,0.038461538,0
3.59437E-7,0.010010851,0.000453916,0.730285714,0.038461538,0
7.22387E-7,0.025038199,0.00091185,0.689142857,0.038461538,0
1.28087E-6,0.050011077,0.001615666,0.653142857,0.038461538,0
2.45659E-6,0.100127482,0.003094112,0.613285714,0.038461538,0
4.46518E-6,0.200384836,0.005609767,0.570714286,0.038461538,0
6.48536E-6,0.300510645,0.008127174,0.544714286,0.038461538,0
8.34579E-6,0.400555186,0.010434258,0.525428571,0.038461538,0
1.01187E-5,0.500296926,0.012622871,0.51,0.038461538,0
1.16268E-5,0.600332641,0.014476903,0.496857143,0.038461538,0
1.33521E-5,0.700039266,0.016589498,0.485428571,0.038461538,0
1.39361E-5,0.750551959,0.017302533,0.480142857,0.038461538,0
1.46052E-5,0.800488828,0.018118285,0.475142857,0.038461538,0
1.62454E-5,0.900347899,0.020112009,0.465857143,0.038461538,0
1.75139E-5,1.001677162,0.021648511,0.457285714,0.038461538,0
1.87386E-5,1.101006736,0.023127314,0.449428571,0.038461538,0
1.99715E-5,1.201920985,0.02461146,0.442,0.038461538,0
2.12039E-5,1.300927111,0.026090559,0.435142857,0.038461538,0
2.24691E-5,1.401378963,0.027604334,0.428571429,0.038461538,0
2.40292E-5,1.501466882,0.029464537,0.422428571,0.038461538,0
