X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-43.937801361084,-19.9207992553711,train,2.2276998275594405E-4,18.549876749712666,0.21963591070036495
-43.7144012451172,-19.1688995361328,train,0.001143208002569366,62.75540760760225,0.5908945158833724
-43.6002998352051,-18.29391851807,train,0.0025207762918620447,75.21536556480079,0.7610406002859692
-43.7449989318848,-19.513599395752,train,8.10835633470747E-4,51.694615928720545,0.5060337627334273
-44.2919,-17.6989,train,0.002595119118656349,76.08595537019414,0.766286221276354
-43.3793983459473,-18.604700088501,train,5.489734493536226E-4,40.531468137692606,0.4095371597350926
-44.4455986022949,-17.2355995178223,train,9.498698194246706E-5,7.430496294131224,0.1071499600293055
-43.4160995483398,-20.377799987793,train,2.0151964461966848E-4,17.03508681746232,0.20293633115536422
-44.1721992492676,-17.7574996948242,train,2.4475020115992017E-4,20.170009380064553,0.23618846025855741
-43.783889,-17.916944,train,0.0036876536636924295,80.68731937260131,0.8232926178987865
-43.5611111,-18.17235,train,0.0034402143584902653,79.70952142521368,0.8129600778932282
-39.6981010437012,-12.7118997573853,train,7.769701710722408E-9,1.1999281341750624E-4,9.816337572249936E-6
-43.833333,-18.833333,train,0.008904806293133198,95.5652806675287,0.9183710334285002
-43.8616981506348,-16.7350006103516,train,3.6093079515550045E-4,28.722963905754753,0.3131910220157911
-43.3088989257812,-17.0646991729736,train,0.002586769910354949,76.06597101946286,0.7657086104248066
-43.583333,-19.166667,train,0.004046712473227407,81.66313470690199,0.8364066244214438
-44.249444,-17.909167,train,0.0023074863522824264,74.5422248443584,0.7445940465541832
-43.665,-18.188333,train,0.003380974949776217,79.60948344902404,0.8103045470440843
-43.2333333,-18.8666667,train,3.058351243507203E-4,24.48239905910909,0.27870727980410476
-42.7788889,-15.3866666,train,0.003855189310006599,81.00841300131246,0.8296637753453455
-43.6502778,-18.4530556,train,0.006996895333817464,91.03414289893493,0.8983745123284929
-43.7555556,-19.0061111,train,0.004155463727638983,82.777299950373,0.8400029691477956
-43.5527778,-18.355,train,0.004912027118330336,83.84791896587912,0.8612263114897468
-43.54944444,-18.37416667,train,0.002967753014563991,78.26613993994783,0.7894529751821014
-43.55722222,-18.65388889,train,0.0030360502809117676,78.40508659131687,0.7932098921073233
-43.516667,-19.25,train,0.0029040361349823027,78.03774937756106,0.7858228113676629
