nomecientifico,longitude,latitude
Mimosa lewisii,-41.382222,-12.573889
Mimosa lewisii,-41.416667,-12.457222
Mimosa lewisii,-43.175556,-13.106944
Mimosa lewisii,-41.605278,-12.554444
Mimosa lewisii,-38.2991981506348,-12.5303001403809
Mimosa lewisii,-41.166667,-13.55
Mimosa lewisii,-41.433333,-12.216667
Mimosa lewisii,-41.390278,-12.992222
Mimosa lewisii,0,-9.033333
Mimosa lewisii,0,-9.116667
Mimosa lewisii,-38.483333,-9.333333
Mimosa lewisii,-38.666944,-10.669167
Mimosa lewisii,-39.014722,-9.943889
Mimosa lewisii,-39.15,-10.016667
Mimosa lewisii,-37.239444,-8.5825
Mimosa lewisii,-37.214167,-8.553056
Mimosa lewisii,-38.15,-12.733333
Mimosa lewisii,-39.017778,-9.944722
Mimosa lewisii,-41.162778,-11.613056
Mimosa lewisii,-41.405,-12.561667
Mimosa lewisii,-41.405833,-12.568333
Mimosa lewisii,-38.531111,-9.653333
Mimosa lewisii,-42.388889,-11.563333
Mimosa lewisii,-38.46722,-9.66167
Mimosa lewisii,-41.38333,-12.56667
Mimosa lewisii,-41.18528,-11.54028
Mimosa lewisii,-38.783333,-10.266667
Mimosa lewisii,-38.0814018249512,-11.6603002548218
