,Variables,VIF
1,PC10,2.91018308250564
2,PC12,5.66098835660277
3,PC13,5.36528883220494
4,PC14,3.87336500076922
5,PC15,9.68624094298146
6,PC16,3.878550628592
7,PC18,3.2449369457235
8,PC19,1.46319338405202
9,PC5,9.46970309498062
10,PC6,6.63638159250882
11,PC9,9.97329415967005
