Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.05131E-12,0.000000001,0.000000004,0.999714286,0,0
5.84522E-12,0.000000003,0.000000006,0.999285714,0,0
1.13245E-11,0.000000011,0.000000013,0.998,0,0
1.48534E-11,0.000000026,0.000000016,0.996285714,0,0
5.35981E-11,0.000000105,0.000000059,0.993,0,0
7.47695E-11,0.000000257,0.000000083,0.989571429,0,0
1.65883E-10,0.000001009,0.000000183,0.980428571,0,0
3.1926E-10,0.000002518,0.000000353,0.971857143,0,0
8.56701E-10,0.000010013,0.000000946,0.953,0,0
1.56287E-9,0.000025068,0.000001726,0.935285714,0,0
2.50157E-9,0.000050034,0.000002763,0.917571429,0,0
4.63911E-9,0.000100414,0.000005125,0.896714286,0,0
1.3968E-8,0.000250884,0.00001543,0.870142857,0,0
2.53246E-8,0.000500821,0.000027975,0.851428571,0,0
4.29402E-8,0.001002594,0.000047434,0.829857143,0.038461538,0
8.79716E-8,0.002505409,0.000097173,0.795571429,0.038461538,0
1.56088E-7,0.00500752,0.0001724,0.766,0.038461538,0
2.86717E-7,0.010021798,0.000316635,0.732,0.038461538,0
6.83934E-7,0.025005419,0.000754969,0.686285714,0.038461538,0
1.40218E-6,0.050101771,0.001546585,0.650428571,0.038461538,0
2.52116E-6,0.100026297,0.002777387,0.613,0.038461538,0
4.50508E-6,0.200130299,0.004952101,0.571428571,0.038461538,0
6.54086E-6,0.300432134,0.00717383,0.545428571,0.038461538,0
8.20316E-6,0.400473937,0.008980626,0.525857143,0.038461538,0
9.8951E-6,0.500189479,0.010812891,0.510142857,0.038461538,0
1.15438E-5,0.600807759,0.012591827,0.496714286,0.038461538,0
1.3021E-5,0.701258129,0.014180258,0.485,0.038461538,0
1.37102E-5,0.750819797,0.01491967,0.479714286,0.038461538,0
1.45002E-5,0.800324591,0.015765789,0.474714286,0.038461538,0
1.57546E-5,0.900520651,0.017106339,0.465285714,0.038461538,0
1.67795E-5,1.001480794,0.018198884,0.456428571,0.038461538,0
1.84089E-5,1.100424691,0.019930914,0.448428571,0.038461538,0
1.96658E-5,1.201412701,0.021262817,0.440857143,0.038461538,0
2.07814E-5,1.300640112,0.022441977,0.433857143,0.038461538,0
2.18403E-5,1.400774591,0.023558507,0.427142857,0.038461538,0
2.26655E-5,1.501053311,0.024426918,0.420714286,0.038461538,0
