"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Country inferred from coordinates","Coordinates derived from verbatim coordinates","First of the month","Geodetic datum assumed WGS84","Georeferenced after occurrence date","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Min and max altitude reversed","Name not in national checklists","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised","Unrecognized geodetic datum"
"a972bc85-30d5-44f3-891f-142d906e4dcc","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","37264","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Chapada Diamantina, Serra da Chapadinha","-12.45","-41.43333","","-12.45","-41.43333","","","","0.0","910.0","","","","1994","08","PreservedSpecimen","PreservedSpecimen","present","","true","true","Stradmann, MTS; Guedes, ML","Queiroz, LP de; Lima, MPM de","","PCD664","","","true","false","false","false","true","false","false","false","false","true","true","false","false","false","false","false"
"72d064c0-573d-4adb-9ad3-4c5e5f9c040b","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00865964","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","JBRJ","RB","Estrada de Palmeiras para Serra Negra. Área TreeAtlan BAplmc.","-12.5544444","-41.6052778","","-12.5544444","-41.6052778","","Brasil","","","","","","","2013","08","PreservedSpecimen","PreservedSpecimen","present","","true","true","D.M. Neves; L.P. Queiroz; K.G. Dexter; T. Baker","L.P. Queiroz","","1550","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","true","false"
"60e4e77c-ebd8-4da8-929f-e86b60be12aa","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","62883","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Nordeste, Tabuleiro","-10.83333","-38.53333","","-10.83333","-38.53333","","","","-9999.0","0.0","","","","2003","08","PreservedSpecimen","PreservedSpecimen","present","","true","true","Guedes, ML; Xavier, AB; Queiroz, EP","Guedes, ML","","10489","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"50cacf0c-d0e7-498f-b227-56e101a3e09d","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","37264","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Chapada Diamantina, Serra da Chapadinha","-12.45972","-41.44028","","-12.45972","-41.44028","","","","0.0","910.0","","","","1994","08","PreservedSpecimen","PreservedSpecimen","present","","true","true","Stradmann, MTS; Poveda, A; Guedes, ML; Orlandi, RP","Guedes, ML","","PCD664","","","true","false","false","false","true","false","false","false","false","true","true","false","false","false","false","false"
"3ffee8d9-e215-4d16-bca9-b4f854ce1bd5","dr259","Base de dados do Herbário Alexandre Leal Costa da UFBA","in12","Universidade Federal da Bahia","co68","Herbário Alexandre Leal Costa da UFBA","CC-BY-NC","23698","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFBA","ALCB","Jauá","-12.68333","-38.31667","","-12.68333","-38.31667","","","","-9999.0","0.0","","","","1992","08","PreservedSpecimen","PreservedSpecimen","present","","true","true","Viviane, R","Guedes, ML","","s/n","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"35d75f23-71b1-4e59-9cb1-f7119f2e0db2","dr215","","","","","","","RB00865964","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","JBRJ","RB","Estrada de Palmeiras para Serra Negra. Área TreeAtlan BAplmc.","-12.554440","-41.605280","SIRGAS 2000","-12.55444","-41.60528","","Brazil","","","","","","","2013","08","PreservedSpecimen","PreservedSpecimen","present","","true","true","D.M. Neves; L.P. Queiroz; K.G. Dexter; T. Baker","L.P. Queiroz","","1550","","","true","false","false","false","false","true","false","false","false","false","true","true","false","false","false","true"
"9c983450-441c-437b-aa7d-41a99478f65c","dr216","Herbário RB - Rio de Janeiro Botanical Garden Herbarium Collection","in5","Instituto de Pesquisas Jardim Botânico do Rio de Janeiro","co125","Herbário RB","CC-BY 4.0 (Int)","RB00577942","291191","Mimosa lewisii Barneby","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","JBRJ","RB","Praia do Forte. próximo à pista de pouso.","-12.5736111","-38.0161111","","-12.5736111","-38.0161111","","Brasil","","28.0","28.0","","","","2009","11","PreservedSpecimen","PreservedSpecimen","present","","true","true","M. J. F. Barros; V. Mansano, R. B. Pinto & T. Arantes","J.S. Silva","2011-03-28","40","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"85cb5bdc-4053-416d-99c7-1fdc266af036","dr325","Herbário Professor Vasconcelos Sobrinho","in75","Universidade Federal Rural de Pernambuco","co176","Herbário Professor Vasconcelos Sobrinho","CC-BY-NC 4.0 (Int)","22887","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","UFRPE","PEUFR","Estrada Buíque-Catimbau","-8.625","-37.1541670000000011","","-8.625","-37.154167","","","","799.0","799.0","","","","1995","11","PreservedSpecimen","PreservedSpecimen","present","","true","true","L. Figueirêdo; K. Andrade; E. Freire","","1997-01-01","252","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"6aa2d0c1-f1e6-4428-abb6-888054722b83","dr522","Herbário do Trópico Semiárido","in147","Embrapa Semiárido","co316","Herbário do Trópico Semiárido","CC-BY-NC 4.0 (Int)","6212","291191","Mimosa lewisii","","Mimosa lewisii","species","Calumbé","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Empresa Brasileira de Pesquisa Agropecuária","HTSA","Alto do rio Paraguaçu","-13.6425000000000001","-41.6424999999999983","","-13.6425","-41.6425","","","","0.0","0.0","","","","2013","11","PreservedSpecimen","PreservedSpecimen","present","","true","true","Martins.C.T.V.D","Queiroz, L.P. de","","295","","","true","false","false","false","true","false","false","false","false","false","true","false","false","false","false","false"
"61575fd6-37cf-40b4-99ec-d117a74d4eed","dr261","Base de dados do Herbário do Centro de Pesquisas do Cacau","in45","Comissão Executiva do Plano da Lavoura Cacaueira","co140","Herbário do Centro de Pesquisas do Cacau","CC-BY-NC","35142","291191","Mimosa lewisii","","Mimosa lewisii","species","Jureminha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Mimosa","Mimosa lewisii","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","CEPEC","Mucugezinho. Ao lado do Rio.","-12.4666669999999993","-41.4333329999999975","","-12.466667","-41.433333","","","","","","","","","1983","11","PreservedSpecimen","PreservedSpecimen","present","","true","true","L. R. Noblick","G. P. Lewis","","2849","","","true","false","false","false","true","false","false","false","false","false","true","true","false","false","false","false"
