Longitude,Latitude
-43.74472,-19.51361
-43.6,-19.27
-43.7454,-19.5221
-43.349444,-19.410278
-43.516667,-18.383333
-43.383333,-18.383333
-42.5,-14.266667
-41.083333,-11.083333
