"Species","x","y"
"L_bokermanni",-43.74472,-19.51361
"L_bokermanni",-43.6,-19.27
"L_bokermanni",-43.7454,-19.5221
"L_bokermanni",-43.349444,-19.410278
"L_bokermanni",-43.516667,-18.383333
"L_bokermanni",-43.383333,-18.383333
"L_bokermanni",-42.5,-14.266667
"L_bokermanni",-41.083333,-11.083333
