x,y,subsecundum_PA1_RUN8 logistic values
-39.9291666667485,-8.23749999978204,6.75997E-4
-39.3875000000778,-8.24583333311544,0.0055314903
-39.137500000076,-8.26249999978225,0.008793965
-39.8875000000815,-8.28749999978247,1.2192858E-4
-40.5458333334197,-8.30416666644927,5.6942354E-4
-38.9625000000747,-8.30416666644927,0.005635491
-38.695833333406,-8.31249999978268,0.0011943729
-40.3875000000852,-8.32916666644949,8.452952E-4
-39.3791666667444,-8.33749999978289,0.01655381
-40.2041666667505,-8.3458333331163,4.5243002E-4
-39.0791666667422,-8.3458333331163,0.0045898985
-40.1208333334166,-8.3624999997831,1.5905182E-4
-39.4708333334118,-8.3624999997831,0.012309715
-39.2208333334099,-8.3624999997831,0.008277177
-40.4125000000854,-8.37083333311651,0.0011398543
-40.320833333418,-8.37083333311651,4.3214817E-4
-39.6125000000795,-8.37083333311651,0.009205782
-38.9125000000743,-8.37083333311651,0.002710803
-39.1791666667429,-8.37916666644992,0.014091701
-40.2541666667509,-8.38749999978332,2.986072E-4
-40.637500000087,-8.39583333311672,5.1931146E-4
-39.9041666667483,-8.39583333311672,1.6183848E-4
-39.137500000076,-8.39583333311672,0.009151533
-38.4708333334044,-8.39583333311672,3.720389E-4
-40.4208333334188,-8.40416666645013,0.0011500209
-39.6375000000797,-8.43749999978375,0.012895624
-41.0625000000902,-8.44583333311715,0.0011985918
-40.8708333334221,-8.44583333311715,3.1525266E-4
-40.4958333334193,-8.44583333311715,0.0010527777
-38.4125000000706,-8.45416666645055,2.6097303E-4
-39.5541666667457,-8.46249999978396,0.0032914653
-40.5791666667533,-8.47083333311737,7.081227E-4
-39.5041666667453,-8.47083333311737,0.00576954
-38.9375000000745,-8.47083333311737,0.0015485552
-38.8541666667405,-8.47083333311737,0.0012044497
-39.9041666667483,-8.47916666645077,0.0010025074
-40.7958333334215,-8.48749999978417,1.5703517E-4
-39.6375000000797,-8.49583333311758,0.0026335923
-38.5625000000717,-8.51249999978439,1.9378915E-4
-40.4791666667525,-8.52083333311779,0.0018449858
-39.770833333414,-8.52083333311779,2.4419092E-4
-39.9875000000822,-8.5374999997846,6.878716E-5
-41.1208333334239,-8.545833333118,6.374801E-4
-38.4041666667372,-8.55416666645141,0.0012111287
-40.2458333334175,-8.57083333311822,5.6859007E-4
-39.5375000000789,-8.57083333311822,0.011463386
-39.0791666667422,-8.57916666645162,0.005105262
-40.2375000000841,-8.58749999978503,3.9781714E-4
-41.0041666667564,-8.59583333311843,4.571365E-4
-40.1958333334171,-8.59583333311843,4.7761758E-4
-38.7625000000732,-8.59583333311843,5.926726E-4
-40.1458333334167,-8.61249999978524,4.3083186E-4
-41.0875000000904,-8.62083333311865,3.0307245E-4
-39.9875000000822,-8.62083333311865,7.8470417E-4
-39.7791666667474,-8.62083333311865,0.001258338
-40.8791666667555,-8.62916666645205,8.498626E-4
-39.3458333334108,-8.62916666645205,0.020825889
-39.0375000000752,-8.62916666645205,0.002926295
-40.2875000000845,-8.63749999978545,4.2882672E-4
-39.8708333334147,-8.63749999978545,0.0026875292
-40.7541666667546,-8.64583333311886,3.4145865E-4
-38.9208333334077,-8.64583333311886,0.0012024449
-38.0458333334012,-8.64583333311886,1.2480498E-4
-40.12916666675,-8.65416666645226,6.026596E-4
-39.6791666667466,-8.65416666645226,0.0030065954
-38.7041666667394,-8.65416666645226,2.1620633E-4
-40.2041666667505,-8.67083333311907,4.2618532E-4
-40.0958333334164,-8.67083333311907,8.258635E-4
-37.745833333399,-8.67083333311907,4.4188372E-4
-41.6458333334278,-8.67916666645248,1.6812792E-4
-39.9125000000817,-8.67916666645248,0.002754261
-41.0208333334232,-8.68749999978588,2.3385802E-4
-38.1208333334018,-8.69583333311929,0.002052012
-37.9375000000671,-8.69583333311929,1.8723952E-4
-39.5791666667459,-8.70416666645269,0.009667568
-39.5041666667453,-8.70416666645269,0.014078582
-39.4291666667448,-8.70416666645269,0.010190627
-37.9375000000671,-8.70416666645269,1.3259376E-4
-40.995833333423,-8.7124999997861,1.6797631E-4
-38.1375000000686,-8.7124999997861,6.017909E-4
-41.4875000000933,-8.7208333331195,1.4982666E-4
-39.1625000000762,-8.7208333331195,0.0025214506
-38.4875000000712,-8.7208333331195,0.0020204016
-41.2958333334252,-8.7291666664529,2.77557E-4
-40.8208333334217,-8.7291666664529,7.2358263E-4
-40.762500000088,-8.7291666664529,7.979056E-4
-40.3541666667516,-8.7291666664529,8.412149E-4
-40.0791666667496,-8.7291666664529,8.8343973E-4
-39.812500000081,-8.7291666664529,0.01568989
-39.3875000000778,-8.7291666664529,0.012583537
-38.9625000000747,-8.7291666664529,9.5101574E-4
-38.187500000069,-8.7291666664529,0.007096109
-38.062500000068,-8.7291666664529,6.456343E-5
-39.8791666667481,-8.73749999978631,0.008080907
-38.0458333334012,-8.73749999978631,4.6784295E-5
-41.4291666667596,-8.74583333311971,3.3788156E-4
-41.3458333334256,-8.74583333311971,2.2413167E-4
-40.8125000000883,-8.74583333311971,8.634468E-4
-40.8958333334223,-8.76249999978652,3.1268445E-4
-39.1041666667424,-8.76249999978652,7.2195864E-4
-38.3291666667367,-8.77916666645333,0.002832951
-38.104166666735,-8.77916666645333,7.169558E-5
-39.9291666667485,-8.78749999978674,0.0051257345
-38.77916666674,-8.78749999978674,0.0012587083
-37.9208333334003,-8.78749999978674,3.3990832E-6
-37.6375000000649,-8.78749999978674,4.6757203E-5
-41.2625000000917,-8.79583333312014,4.122003E-5
-41.8291666667625,-8.80416666645355,2.3932062E-5
-40.1875000000837,-8.80416666645355,5.325405E-4
-41.2291666667581,-8.81249999978695,8.7112734E-5
-39.7375000000804,-8.81249999978695,0.03569913
-37.9291666667337,-8.81249999978695,3.6588165E-6
-41.0208333334232,-8.82083333312035,4.6274177E-4
-41.0458333334234,-8.82916666645376,1.8284706E-4
-41.3875000000926,-8.83749999978716,6.2846455E-5
-40.4875000000859,-8.83749999978716,2.1146644E-4
-38.7041666667394,-8.83749999978716,4.8667236E-4
-38.9541666667413,-8.84583333312057,2.2097069E-4
-41.8458333334293,-8.86249999978738,5.8908363E-6
-41.1541666667575,-8.86249999978738,6.260395E-5
-40.8625000000887,-8.86249999978738,2.7281215E-4
-40.6541666667538,-8.86249999978738,1.904336E-4
-40.4375000000856,-8.86249999978738,1.9831803E-4
-37.5375000000641,-8.86249999978738,1.9786883E-8
-39.8875000000815,-8.87083333312078,0.023327228
-39.5625000000791,-8.87083333312078,0.026585989
-39.7041666667468,-8.87916666645419,0.043534458
-41.8125000000957,-8.88749999978759,2.1759459E-5
-41.4041666667594,-8.88749999978759,5.570321E-5
-41.1541666667575,-8.895833333121,4.8892063E-5
-40.5125000000861,-8.895833333121,9.335259E-5
