Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
3.08954E-4,17.759223391,0.196869414,0.097142857,0.153846154,0
3.13437E-4,18.008321778,0.199157037,0.096,0.153846154,0
3.23335E-4,18.264194919,0.204162573,0.094857143,0.153846154,0
3.28853E-4,18.524869259,0.206925776,0.093714286,0.153846154,0
3.34655E-4,18.75680137,0.209810571,0.092714286,0.153846154,0
3.43247E-4,19.027838708,0.214044131,0.091571429,0.153846154,0
3.55959E-4,19.271210058,0.220225425,0.090571429,0.153846154,0
3.61506E-4,19.522810184,0.222892364,0.089571429,0.192307692,0
3.65475E-4,19.777385785,0.224789684,0.088571429,0.192307692,0
3.69982E-4,20.034848312,0.22693243,0.087571429,0.192307692,0
3.7283E-4,20.25808868,0.228280653,0.086714286,0.192307692,0
3.85384E-4,20.522933524,0.234167463,0.085714286,0.230769231,0
3.89644E-4,20.75587321,0.236144559,0.084857143,0.230769231,0
3.96027E-4,21.031410558,0.239087959,0.083857143,0.230769231,0
4.01861E-4,21.271238833,0.241758649,0.083,0.230769231,0
4.09555E-4,21.514679497,0.245251907,0.082142857,0.230769231,0
4.15553E-4,21.762263715,0.247953134,0.081285714,0.230769231,0
4.21174E-4,22.01324053,0.250467293,0.080428571,0.230769231,0
4.25542E-4,22.267545515,0.252409035,0.079571429,0.230769231,0
4.27801E-4,22.523670296,0.25340965,0.078714286,0.230769231,0
4.31403E-4,22.781306478,0.254999051,0.077857143,0.230769231,0
4.36174E-4,23.041718107,0.257094109,0.077,0.230769231,0
4.39265E-4,23.26064464,0.258445299,0.076285714,0.230769231,0
4.44474E-4,23.526396488,0.260711065,0.075428571,0.230769231,0
4.49653E-4,23.794699744,0.262949872,0.074571429,0.230769231,0
4.53608E-4,24.020388966,0.264650596,0.073857143,0.230769231,0
4.59667E-4,24.293869945,0.267241083,0.073,0.230769231,0
4.65489E-4,24.525613925,0.269712977,0.072285714,0.230769231,0
4.6803E-4,24.759299822,0.270786364,0.071571429,0.230769231,0
4.75014E-4,25.043101203,0.27372119,0.070714286,0.230769231,0
4.81666E-4,25.282967214,0.276494322,0.07,0.230769231,0
4.86639E-4,25.525269209,0.278554143,0.069285714,0.230769231,0
4.90992E-4,25.770449456,0.280347074,0.068571429,0.230769231,0
4.95812E-4,26.018070639,0.282322214,0.067857143,0.230769231,0
4.99473E-4,26.267522077,0.283815396,0.067142857,0.230769231,0
5.08027E-4,26.520524664,0.287279432,0.066428571,0.230769231,0
5.139E-4,26.77629862,0.289638479,0.065714286,0.230769231,0
5.18769E-4,27.034737181,0.291582536,0.065,0.230769231,0
5.22682E-4,27.294872933,0.293137238,0.064285714,0.230769231,0
5.26282E-4,27.504980116,0.294561566,0.063714286,0.230769231,0
5.29197E-4,27.768736473,0.295710565,0.063,0.230769231,0
5.32998E-4,28.034560588,0.297203407,0.062285714,0.230769231,0
5.42502E-4,28.304048563,0.300908389,0.061571429,0.230769231,0
5.47058E-4,28.521810652,0.302670327,0.061,0.230769231,0
5.54358E-4,28.79814904,0.305475734,0.060285714,0.230769231,0
5.58551E-4,29.020723802,0.307076427,0.059714286,0.230769231,0
5.74625E-4,29.304731498,0.313146497,0.059,0.230769231,0
5.7661E-4,29.534902797,0.313888586,0.058428571,0.230769231,0
5.85047E-4,29.76686903,0.317025255,0.057857143,0.230769231,0
5.89059E-4,30.001882985,0.318506756,0.057285714,0.230769231,0
5.93634E-4,30.297488273,0.320188497,0.056571429,0.230769231,0
6.01109E-4,30.536840731,0.322918529,0.056,0.230769231,0
6.06369E-4,30.778734999,0.324826237,0.055428571,0.230769231,0
6.13446E-4,31.023425296,0.327376193,0.054857143,0.230769231,0
6.26516E-4,31.272187283,0.332035153,0.054285714,0.230769231,0
6.29869E-4,31.523488661,0.33322011,0.053714286,0.230769231,0
6.34619E-4,31.776337643,0.334891503,0.053142857,0.230769231,0
6.41175E-4,32.031444607,0.337184586,0.052571429,0.230769231,0
6.45723E-4,32.289299376,0.338766109,0.052,0.230769231,0
6.46662E-4,32.54788413,0.339091607,0.051428571,0.230769231,0
6.5231E-4,32.808242029,0.341043158,0.050857143,0.230769231,0
6.56999E-4,33.004817852,0.342654882,0.050428571,0.230769231,0
6.64957E-4,33.268964665,0.345371674,0.049857143,0.230769231,0
6.74275E-4,33.53770198,0.34852462,0.049285714,0.230769231,0
6.78977E-4,33.8087488,0.350104297,0.048714286,0.230769231,0
6.85928E-4,34.013449684,0.352425118,0.048285714,0.230769231,0
6.94124E-4,34.28996136,0.355140702,0.047714286,0.230769231,0
7.05334E-4,34.500331917,0.358818133,0.047285714,0.230769231,0
7.15755E-4,34.785451042,0.362199501,0.046714286,0.230769231,0
7.18992E-4,35.00088199,0.363242556,0.046285714,0.230769231,0
7.22285E-4,35.289290388,0.36430004,0.045714286,0.230769231,0
7.25571E-4,35.506868051,0.365352102,0.045285714,0.230769231,0
7.39842E-4,35.800960394,0.369880057,0.044714286,0.230769231,0
7.43656E-4,36.023837082,0.371079314,0.044285714,0.230769231,0
7.55008E-4,36.323221989,0.374621808,0.043714286,0.230769231,0
7.6429E-4,36.551416652,0.377488609,0.043285714,0.230769231,0
7.70057E-4,36.782016814,0.379256937,0.042857143,0.230769231,0
7.77885E-4,37.014640181,0.381640724,0.042428571,0.269230769,0
7.82826E-4,37.326997299,0.383136214,0.041857143,0.269230769,0
7.90917E-4,37.563218348,0.385569139,0.041428571,0.269230769,0
7.99273E-4,37.802075099,0.388061968,0.041,0.269230769,0
8.06547E-4,38.043679816,0.390215629,0.040571429,0.269230769,0
8.12138E-4,38.287002635,0.391860447,0.040142857,0.269230769,0
8.14583E-4,38.531107274,0.392577309,0.039714286,0.269230769,0
8.20934E-4,38.776837368,0.394430747,0.039285714,0.269230769,0
8.25145E-4,39.023875427,0.395653469,0.038857143,0.269230769,0
8.34742E-4,39.273144779,0.39842168,0.038428571,0.269230769,0
8.53274E-4,39.526502384,0.403696227,0.038,0.269230769,0
8.62318E-4,39.784902702,0.406236805,0.037571429,0.269230769,0
8.75794E-4,40.045812616,0.409982586,0.037142857,0.269230769,0
8.88227E-4,40.310463711,0.413396662,0.036714286,0.269230769,0
8.94625E-4,40.578553558,0.415138217,0.036285714,0.269230769,0
8.99101E-4,40.757973491,0.416350471,0.036,0.269230769,0
9.0807E-4,41.029306406,0.418764566,0.035571429,0.269230769,0
9.21954E-4,41.303149878,0.42246235,0.035142857,0.269230769,0
9.24976E-4,41.580241427,0.423261172,0.034714286,0.269230769,0
9.3179E-4,41.766206762,0.425053891,0.034428571,0.269230769,0
9.40019E-4,42.046566761,0.42720384,0.034,0.269230769,0
9.47407E-4,42.330313581,0.429120671,0.033571429,0.307692308,0
9.54796E-4,42.520706324,0.431024962,0.033285714,0.307692308,0
9.57858E-4,42.807903898,0.431810466,0.032857143,0.307692308,0
9.67897E-4,43.096320383,0.434370172,0.032428571,0.307692308,0
9.78999E-4,43.29118104,0.437174316,0.032142857,0.307692308,0
9.88564E-4,43.587479132,0.439568141,0.031714286,0.307692308,0
9.96076E-4,43.78626217,0.441433998,0.031428571,0.307692308,0
1.0054E-3,44.087246957,0.443731799,0.031,0.307692308,0
1.01127E-3,44.289074975,0.445169863,0.030714286,0.307692308,0
1.02189E-3,44.594246263,0.447751718,0.030285714,0.307692308,0
1.03351E-3,44.800386488,0.450548699,0.03,0.307692308,0
1.04181E-3,45.00845711,0.452529622,0.029714286,0.307692308,0
1.04687E-3,45.322037571,0.45373012,0.029285714,0.307692308,0
1.05852E-3,45.533108278,0.456474815,0.029,0.307692308,0
1.06905E-3,45.852179947,0.458931743,0.028571429,0.307692308,0
1.07987E-3,46.067786533,0.461433411,0.028285714,0.346153846,0
1.09641E-3,46.285883693,0.465214246,0.028,0.346153846,0
1.10074E-3,46.505639293,0.466194004,0.027714286,0.346153846,0
1.10905E-3,46.837097313,0.468066808,0.027285714,0.346153846,0
1.1107E-3,47.059106958,0.468436135,0.027,0.346153846,0
1.11621E-3,47.28203125,0.46966948,0.026714286,0.346153846,0
1.12018E-3,47.505878562,0.470552773,0.026428571,0.384615385,0
1.13578E-3,47.845555068,0.473999608,0.026,0.384615385,0
1.13638E-3,48.072814651,0.474132686,0.025714286,0.384615385,0
1.14286E-3,48.300839025,0.475549141,0.025428571,0.384615385,0
1.15059E-3,48.530929229,0.477230982,0.025142857,0.384615385,0
1.15447E-3,48.761734394,0.478071524,0.024857143,0.384615385,0
1.16758E-3,49.110904791,0.480890192,0.024428571,0.384615385,0
1.17466E-3,49.345745491,0.482398592,0.024142857,0.384615385,0
1.17674E-3,49.581033692,0.482841434,0.023857143,0.384615385,0
1.18982E-3,49.818234137,0.485601864,0.023571429,0.384615385,0
1.21357E-3,50.058847412,0.490540295,0.023285714,0.384615385,0
1.22091E-3,50.302742609,0.492046545,0.023,0.384615385,0
1.2334E-3,50.548884479,0.49459054,0.022714286,0.384615385,0
1.25943E-3,50.799683286,0.499811543,0.022428571,0.384615385,0
1.26546E-3,51.052454463,0.50100596,0.022142857,0.384615385,0
1.27765E-3,51.306818653,0.503402246,0.021857143,0.384615385,0
1.27904E-3,51.562531005,0.503673147,0.021571429,0.384615385,0
1.29485E-3,51.821459263,0.506744613,0.021285714,0.384615385,0
1.2997E-3,52.080931783,0.507679638,0.021,0.384615385,0
1.31499E-3,52.343835226,0.510602304,0.020714286,0.384615385,0
1.34186E-3,52.60966975,0.515656159,0.020428571,0.384615385,0
1.34641E-3,52.878833691,0.51650197,0.020142857,0.384615385,0
1.35848E-3,53.014681743,0.51872967,0.02,0.384615385,0
1.35941E-3,53.286473149,0.518900419,0.019714286,0.384615385,0
1.36086E-3,53.558545859,0.519166773,0.019428571,0.384615385,0
1.37017E-3,53.831950129,0.520867552,0.019142857,0.384615385,0
1.38876E-3,54.108310391,0.524229975,0.018857143,0.384615385,0
