"Record ID","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Year","Month","Basis Of Record","Basis Of Record - original","Occurrence status","Sex","Taxonomic Quality","Location Quality","Collector","identified _ by","identified _ date","Record number","raw _ sampling _ protocol","event _ id","Occurrence status assumed to be present","Coordinates are out of range for species","Country inferred from coordinates","Coordinates derived from verbatim coordinates","First of the month","Geodetic datum assumed WGS84","Incomplete collection date","Invalid collection date","Name not in national checklists","Precision / range mismatch","Supplied country not recognised","Collection code not recognised","Institution code not recognised","Type status not recognised"
"2ebcbbcc-fb24-4ca3-b222-bd362c938dd6","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Sítio Washington E Marilene","-20101389","-406175","","-2.0101389E7","-406175.0","","","","","","","","1","2009","02","PreservedSpecimen","PreservedSpecimen","present","","true","false","Rodrigo Lemes Martins","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"1c01dbf5-7328-41e5-8c7e-3eadbe4d328c","dr390","Espécimes repatriados do Museu de Zoologia Comparada (MCZ) da Universidade de Harvard (EEUU).","","","","","CC0","33216","236919","Lonchophylla mordax Thomas, 1903","","Lonchophylla mordax","species","","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","MCZ","Mamm","Cidade da Barra, Rio San Francisco","-10.716667","-42.183333","","-10.716667","-42.183333","","Brazil","","","","","","","1914","02","PreservedSpecimen","preservedSpecimen","present","","true","true","Robert H. Becker","[no agent data]","","","","","true","false","true","false","false","true","false","false","true","false","false","false","false","false"
"af91db74-6dbd-4464-89da-fc9de7c42737","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2009","10","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"9b98154c-5e29-4d1f-8b2d-64fcfd2349a4","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","SISBIO-DIBIO","Reserva Biológica De Saltinho","-8736944","-35169722","","-8736944.0","-3.5169722E7","","","","","","","","1","2011","10","PreservedSpecimen","PreservedSpecimen","present","","true","true","Enrico Bernard","","","Nº Da Autorização/Licença Sisbio: 28941, Projeto: Quiropterocoria: A Dispersão De Sementes De Piper Spp. Por Morcegos Em Uma Reserva De Mata Atlântica De Pernambuco","","","true","true","false","false","false","true","false","false","true","false","true","true","true","false"
"adc515dd-6e8c-45d8-83a2-e23c467990a4","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2009","12","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"167fa0f5-7c37-4594-a913-ec3d861ac1b9","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Parque Nacional Cavernas Do Peruaçu","-15495556","-443625","","-1.5495556E7","-443625.0","","","","","","","","3","2008","12","PreservedSpecimen","PreservedSpecimen","present","","true","true","Renato Gregorin","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"11c500f4-0ebe-41c4-b7e7-f4293edca502","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Parque Nacional Cavernas Do Peruaçu","-15495556","-443625","","-1.5495556E7","-443625.0","","","","","","","","2","2008","12","PreservedSpecimen","PreservedSpecimen","present","","true","true","Renato Gregorin","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"ed25e07b-f03e-4dd5-a6a0-16136e78a9a2","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2009","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"dd4f2de8-d2ec-4243-9a06-84b5395f07ac","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Barra Do Tijuípe (Área 1)","-14409826","-39028721","","-1.4409826E7","-3.9028721E7","","","","","","","","1","2015","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Rodrigo De Almeida Nobre","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"d3897560-67ff-4eb1-a993-06deddc1b517","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Rppn Fazenda Almas","-7466667","-36883333","","-7466667.0","-3.6883333E7","","","","","","","","1","2009","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Maria Paula De Aguiar Fracasso","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
"a215021e-d504-4676-8ebf-7db4efab2760","dr327","Base de dados do PortalBio do ICMBio: Sisbio-Dibio","","","","","CC-BY-NC","","236919","Lonchophylla mordax","Morcego","Lonchophylla mordax","species","Murciélago","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla mordax","ICMBio","","Fazenda Saco Dos Buracos","-13076306","-43296917","","-1.3076306E7","-4.3296917E7","","","","","","","","1","2009","08","PreservedSpecimen","PreservedSpecimen","present","","true","false","Raymundo José De Sá Neto","","","","","","true","true","false","false","false","true","false","false","true","false","true","false","false","false"
