"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"in147","Embrapa Semiárido","","Records provided by Embrapa Semiárido, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in147","","","","3"
"in87","Instituto Agronômico de Campinas","","Records provided by Instituto Agronômico de Campinas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in87","","","","1"
"dr287","Base de dados do Herbário do IPA","","IPA - Herbário - IPA Dárdano de Andrade Lima","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr287","","","","4"
"dr243","Herbário da Universidade Federal de Sergipe","","ASE - Herbário da Universidade Federal de Sergipe, Departamento de Biologia","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr243","","","","3"
"in45","Comissão Executiva do Plano da Lavoura Cacaueira","","Records provided by Comissão Executiva do Plano da Lavoura Cacaueira, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in45","","","","20"
"dr286","Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","","Créditos ou citação das imagens do Herbário do Instituto de Botânica (SP): Uma vez concedida a permissão de uso da imagem, a seguinte referência deve aparecer na página da web ou publicação: Esta imagem pertence ao Herbário do Instituto de Botânica, São Paulo, Brasil.","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr286","","","","1"
"dr242","Herbário do Museu Botânico Municipal de Curitiba - MBM","","Records provided by Herbário do Museu Botânico Municipal de Curitiba - MBM, accessed through ALA website.","This work is licensed under a <ulink url=""https://creativecommons.org/publicdomain/zero/1.0/legalcode""><citetitle>Public Domain (CC0 1.0)</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr242","","","","1"
"dr248","Base de dados do Herbário (COR) da UFMS, Campus Pantanal","","Records provided by Base de dados do Herbário (COR) da UFMS, Campus Pantanal, accessed through ALA website.","This work is licensed under a <ulink url=""http://creativecommons.org/licenses/by-nc/4.0/legalcode""><citetitle>Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License</citetitle></ulink>.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr248","","","","1"
"dr325","Herbário Professor Vasconcelos Sobrinho","","Herbário PEUFR (DB/UFRPE)","Creative Commons Attribution-Noncommercial (CC-BY-NC) This work is licensed under a Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dr325","","","","14"
"co163","Herbário do Instituto Agronômico de Campinas","","Records provided by Herbário do Instituto Agronômico de Campinas, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co163","","","","1"
"dp20","Centro de Referência em Informação Ambiental","","Records provided by Centro de Referência em Informação Ambiental, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/dp20","","","","12"
"co73","Herbário da Universidade Federal de Mato Grosso do Sul - Campus do Pantanal","","Records provided by Herbário da Universidade Federal de Mato Grosso do Sul - Campus do Pantanal, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co73","","","","1"
"co209","Herbário Geraldo Mariz","","Records provided by Herbário Geraldo Mariz, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co209","","","","1"
"co72","Herbário UEC","","Records provided by Herbário UEC, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co72","","","","1"
"co70","Herbário da Universidade Federal de Sergipe","","Records provided by Herbário da Universidade Federal de Sergipe, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co70","","","","3"
"in80","Universidade Federal do Vale do São Francisco","","Records provided by Universidade Federal do Vale do São Francisco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in80","","","","2"
"co125","Herbário RB","","Records provided by Herbário RB, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/co125","","","","14"
"in82","Instituto Agronômico de Pernambuco","","Records provided by Instituto Agronômico de Pernambuco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in82","","","","4"
"in72","Instituto de Botânica de São Paulo","","Records provided by Instituto de Botânica de São Paulo, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in72","","","","1"
"in75","Universidade Federal Rural de Pernambuco","","Records provided by Universidade Federal Rural de Pernambuco, accessed through ALA website.","","For more information: https://collectory.sibbr.gov.br/collectory/public/show/in75","","","","14"
