Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.4863E-13,0.000000001,0,0.819714286,0,0
5.08305E-13,0.000000003,0,0.811714286,0,0
2.00302E-12,0.00000001,0.000000001,0.801142857,0,0
5.85464E-12,0.000000025,0.000000004,0.794857143,0,0
1.94087E-11,0.0000001,0.000000012,0.785428571,0,0
5.12143E-11,0.00000025,0.000000031,0.778857143,0,0
1.82248E-10,0.000001004,0.000000109,0.769142857,0,0
4.42411E-10,0.000002504,0.000000265,0.762,0,0
1.37071E-9,0.000010107,0.000000821,0.75,0,0
2.56764E-9,0.000025116,0.000001538,0.738857143,0,0
4.50873E-9,0.000050254,0.0000027,0.728714286,0,0
6.99371E-9,0.000100504,0.000004188,0.716428571,0,0
1.35921E-8,0.000250981,0.000008139,0.695142857,0,0
2.09228E-8,0.000501217,0.000012529,0.674428571,0,0
3.84735E-8,0.001001184,0.000023039,0.65,0,0
8.49599E-8,0.002506703,0.000050875,0.614285714,0,0
1.54343E-7,0.00500834,0.000092418,0.583142857,0,0
2.96626E-7,0.010025825,0.000177601,0.550285714,0,0
7.18515E-7,0.025022011,0.000430092,0.506285714,0,0
1.38375E-6,0.050112589,0.00082796,0.471,0,0
2.52848E-6,0.100191634,0.001511873,0.433,0,0
4.5016E-6,0.200400543,0.002688503,0.392285714,0,0
6.35832E-6,0.300084856,0.003793187,0.365571429,0,0
8.46393E-6,0.40070699,0.005043002,0.346,0,0
1.04935E-5,0.500114845,0.006244718,0.330857143,0,0
1.24255E-5,0.601122483,0.007385934,0.318285714,0,0
1.44371E-5,0.700709325,0.008571469,0.307714286,0,0
1.54215E-5,0.75153318,0.009150549,0.302857143,0,0
1.65346E-5,0.801108143,0.009804545,0.298428571,0,0
1.83139E-5,0.90037713,0.010848172,0.290285714,0,0
2.00968E-5,1.000072484,0.0118917,0.282857143,0,0
2.18822E-5,1.101340561,0.012934518,0.276,0,0
2.40104E-5,1.200266359,0.014174662,0.269857143,0,0
2.58722E-5,1.301986728,0.015257,0.264,0,0
2.82221E-5,1.402702886,0.016619705,0.258714286,0,0
2.97005E-5,1.501237848,0.017475092,0.253857143,0,0
3.47677E-5,1.752664562,0.020395702,0.242714286,0,0
3.87886E-5,2.002259201,0.022700954,0.233,0,0
4.34095E-5,2.25329941,0.0253368,0.224285714,0,0
4.68463E-5,2.501372179,0.027288044,0.216428571,0,0
5.09833E-5,2.751700682,0.029626414,0.209142857,0.038461538,0
5.49039E-5,3.001042245,0.031832179,0.202428571,0.038461538,0
5.93343E-5,3.253107922,0.034312725,0.196142857,0.038461538,0
6.34694E-5,3.504589698,0.036616444,0.190285714,0.038461538,0
6.83112E-5,3.756597831,0.039299998,0.184857143,0.038461538,0
7.19672E-5,4.002056468,0.041316394,0.179857143,0.038461538,0
7.78746E-5,4.25081745,0.044556745,0.175142857,0.038461538,0
8.3132E-5,4.507629321,0.04742213,0.170571429,0.038461538,0
8.65918E-5,4.754479239,0.049298499,0.166428571,0.038461538,0
9.16842E-5,5.003820503,0.052046796,0.162428571,0.038461538,0
9.72222E-5,5.25827517,0.055017596,0.158571429,0.038461538,0
1.03651E-4,5.509041646,0.058443252,0.155,0.038461538,0
1.09634E-4,5.754244144,0.061608759,0.151714286,0.076923077,0
1.14272E-4,6.001447883,0.064048167,0.148571429,0.076923077,0
1.19636E-4,6.258625009,0.06685366,0.145428571,0.076923077,0
1.26346E-4,6.505111482,0.070339399,0.142571429,0.076923077,0
1.30043E-4,6.762054032,0.072248951,0.139714286,0.076923077,0
1.36696E-4,7.001181299,0.075665461,0.137142857,0.076923077,0
1.4084E-4,7.250992504,0.077780642,0.134571429,0.076923077,0
1.44886E-4,7.507848254,0.079836701,0.132,0.076923077,0
1.49251E-4,7.757987672,0.082044729,0.129571429,0.076923077,0
1.5261E-4,8.01457288,0.083736645,0.127142857,0.076923077,0
1.576E-4,8.263171927,0.086238642,0.124857143,0.076923077,0
1.65778E-4,8.504309489,0.090309428,0.122714286,0.076923077,0
1.69993E-4,8.756498555,0.092393657,0.120571429,0.076923077,0
1.77609E-4,9.017419734,0.096135073,0.118428571,0.115384615,0
