Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.20693E-12,0.000000001,0.000000003,0.999285714,0,0
3.63743E-12,0.000000003,0.000000005,0.998428571,0,0
6.89862E-12,0.00000001,0.00000001,0.996285714,0,0
1.71087E-11,0.000000026,0.000000024,0.994571429,0,0
3.97319E-11,0.000000103,0.000000056,0.990571429,0,0
5.90203E-11,0.000000255,0.000000083,0.986142857,0,0
1.43478E-10,0.000001007,0.000000201,0.974285714,0,0
2.44603E-10,0.000002513,0.000000343,0.963285714,0,0
5.54348E-10,0.000010049,0.000000778,0.935285714,0,0
1.12755E-9,0.000025075,0.000001583,0.909285714,0,0
2.23316E-9,0.000050059,0.000003135,0.886285714,0,0
5.88567E-9,0.000100317,0.000008263,0.867,0,0
1.53715E-8,0.00025028,0.000021579,0.846142857,0.038461538,0
2.76344E-8,0.000500353,0.000038793,0.829428571,0.038461538,0
5.12933E-8,0.001001881,0.000072003,0.810857143,0.038461538,0
1.01685E-7,0.002506417,0.00014273,0.781428571,0.038461538,0
2.05214E-7,0.005011772,0.000288009,0.757714286,0.038461538,0
3.357E-7,0.010006162,0.000471054,0.730714286,0.038461538,0
6.91759E-7,0.025002256,0.000970191,0.686714286,0.038461538,0
1.26169E-6,0.050052205,0.001768103,0.649285714,0.038461538,0
2.47895E-6,0.100148127,0.003468024,0.609714286,0.038461538,0
4.40465E-6,0.200161788,0.006145512,0.567428571,0.038461538,0
6.51798E-6,0.30057834,0.009067357,0.540714286,0.038461538,0
8.60262E-6,0.400807062,0.011932752,0.521857143,0.038461538,0
1.06631E-5,0.501020394,0.014748744,0.507,0.038461538,0
1.22147E-5,0.60006556,0.016858575,0.494571429,0.038461538,0
1.35575E-5,0.700900176,0.018677386,0.483428571,0.038461538,0
1.4385E-5,0.751058277,0.019794781,0.478285714,0.038461538,0
1.502E-5,0.801029693,0.020650565,0.473428571,0.038461538,0
1.65716E-5,0.901021074,0.022735277,0.464428571,0.038461538,0
1.78503E-5,1.000512574,0.024446665,0.456142857,0.038461538,0
1.91711E-5,1.101889245,0.02620822,0.448285714,0.038461538,0
2.04995E-5,1.201080926,0.027973437,0.441142857,0.038461538,0
2.18784E-5,1.301044123,0.029798935,0.434428571,0.038461538,0
2.32239E-5,1.400197954,0.031573708,0.428142857,0.038461538,0
2.42945E-5,1.502347245,0.032981247,0.422,0.038461538,0
2.70885E-5,1.752012448,0.036635228,0.408142857,0.038461538,0
3.00974E-5,2.000393414,0.040539622,0.395714286,0.038461538,0
3.34176E-5,2.250803395,0.04481129,0.384428571,0.038461538,0
3.64222E-5,2.502799063,0.048644372,0.374142857,0.038461538,0
3.95871E-5,2.752414758,0.05264881,0.364714286,0.038461538,0
4.25424E-5,3.002536832,0.056357632,0.356,0.038461538,0
4.55256E-5,3.254301975,0.060072195,0.347857143,0.038461538,0
4.86084E-5,3.504272057,0.063880251,0.340285714,0.038461538,0
5.18126E-5,3.751047526,0.067805637,0.333285714,0.038461538,0
5.53463E-5,4.002730049,0.072096594,0.326571429,0.038461538,0
5.79039E-5,4.251122459,0.075177788,0.320285714,0.038461538,0
6.08712E-5,4.500107959,0.078726975,0.314285714,0.038461538,0
6.39872E-5,4.755256845,0.08242485,0.308428571,0.038461538,0
6.74805E-5,5.006064173,0.086535331,0.303,0.038461538,0
7.10458E-5,5.255310174,0.090692758,0.297857143,0.038461538,0
7.42E-5,5.502072071,0.09433943,0.293,0.038461538,0
