X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-43.937801361084,-19.9207992553711,train,2.2555453001013419E-4,18.159949456725354,0.24049489657176767
-43.7144012451172,-19.1688995361328,train,0.001612499730646139,76.55067465431895,0.6936014395737066
-43.4249992370605,-19.0372009277344,train,4.528329041397963E-4,34.39645276320518,0.38864608033706705
-43.6002998352051,-18.29391851807,train,0.0023818017593359897,81.03610203522473,0.7697823065964495
-43.7449989318848,-19.513599395752,train,0.0010094326288514791,63.78312505985862,0.5862813349215712
-44.2919,-17.6989,train,0.002047720109629132,79.12584432048051,0.7419162442384203
-43.3793983459473,-18.604700088501,train,7.67888716768697E-4,52.862555065431835,0.5187698511410116
-44.4455986022949,-17.2355995178223,train,1.1502554870781283E-4,9.043508380338537,0.13902929013311902
-43.4160995483398,-20.377799987793,train,2.6793070681215583E-4,21.758074142608034,0.27332818622175187
-43.6557998657227,-18.4456005096436,train,0.005568879317758674,91.45748667304788,0.8865946171358083
-39.6981010437012,-12.7118997573853,train,7.269287085606479E-9,1.2219082327205995E-4,1.0204952871249336E-5
-43.833333,-18.833333,train,0.007237146938113028,95.97704182724951,0.9103937575057659
-43.8616981506348,-16.7350006103516,train,3.5367668621904327E-4,28.10640827369306,0.33177965012056937
-43.339444,-18.456944,train,9.341340786584444E-4,60.23256070358499,0.5673604446456472
-44.043098449707,-19.6180992126465,train,3.737266752386705E-4,29.06018547907572,0.3441159389284904
-44.333333,-17.887222,train,0.0031513739185683198,84.33061872269052,0.8156371380988289
-44.233889,-17.923889,train,0.0017042131096706476,76.93475010494272,0.7052300091997278
-43.665,-18.188333,train,0.002529715166557613,81.85133295074027,0.7802856664308152
-43.445,-18.4725,train,0.0039525811440045515,87.10507546055149,0.8473018588997949
-43.806389,-17.891667,train,0.0026591597764887213,82.2411507610185,0.7887213744391296
-43.2333333,-18.8666667,train,5.115222434275249E-4,38.3209081898049,0.4179635008147661
-43.7555556,-19.0061111,train,0.004489546094101648,87.96468906701855,0.8630641864937052
-43.5527778,-18.355,train,0.0040540350922045,87.19303420424751,0.8505521040765679
-43.54944444,-18.37416667,train,0.0028302016109654385,83.21054604915228,0.7989224308629311
-43.55722222,-18.65388889,train,0.002875047411129644,83.32505720422624,0.8014361068564951
-43.516667,-19.25,train,0.0028195357529828976,83.1733022919628,0.7983151966767622
