catalognumber,stateprovince,county,locality,longitude_mun,latitude_mun,yearcollected,collector,institutioncode
40170,Minas Gerais,Serro,Capivari.,-43.3793983459473,-18.604700088501,NA,NA,UFMG
41588,Minas Gerais,Pedro Leopoldo,Fazenda da Jaguara,-44.043098449707,-19.6180992126465,1968,"Duarte, AP",UFMG
70384,Minas Gerais,Joaquim Felício,NA,-44.1721992492676,-17.7574996948242,NA,"Forzza, RC",UFMG
98963,Minas Gerais,Itacambira,Fazenda Tamanduá - Plantar MG 15.,-43.3088989257812,-17.0646991729736,2004,"Tameirão Neto, E",UFMG
111018,Minas Gerais,Jaboticatubas,Serra do Cipó,-43.583333,-19.166667,1952,"Smith, L.B. 6881; Segadas-Vianna, F.; Egler, W.A.; Dau, L.; Lopes da Silva, Z.; Ormond, W.T. & Machline, G.C.",MN
234493,Minas Gerais,Buenópolis,Serra do Cabral. Região do Tanque (no afloramento rochoso).,-44.333333,-17.887222,2007,"Pangaio, L. 1110; Pereira, M.C.A. & Souza, K.",MN
193231,Minas Gerais,Jaboticatubas,NA,-43.7449989318848,-19.513599395752,1952,"Smith, L.B.",MN
234492,Minas Gerais,Buenópolis,Serra do Cabral. Região da Lapa Pintada III (em frente à Lapa Pintada).,-44.250833,-17.918056,2007,"Pangaio, L. 1119; Pereira, M.C.A. & Souza, K.",MN
1796,MG,Buenópolis,"P.E. Serra do Cabral, Condato.",-44.233889,-17.923889,2017,Elidio A. E. Guarçoni 2550; Marcos A. Sartori & Renato Costa,UFMA
420,MG,Buenópolis,"Serra do Cabral, Água Fria.",-44.1800003051758,-17.8733005523682,2012,M. A. Sartori,UFMA
1803,MG,Buenópolis,subida da Serra do Palmito (Bimbarra),-44.249444,-17.909167,2017,Elidio A.E Guarçoni 2535; Marcos A. Sartoni & Renato Costa,UFMA
1802,MG,Buenópolis,subida da Serra do Palmito (Bimbarra),-44.249444,-17.909167,2017,Elidio A.E Guarçoni 2536; Marcos A. Sartoni & Renato Costa,UFMA
