datelastmodified,scientificname,catalognumber,country,stateprovince,county,locality,latitude_final,longitude_final
2019-10-09T14:16:35Z,Mimosa lewisii,042733,Brasil,Bahia,Lençóis,"Chapada Diamantina, Trilha do Bodão, margem direita, afluente do rio Ribeirão, a 4 km aproximadamente após a Cachoeira do Sossego, sentido nascente. Parque Nacional da Chapada Diamantina",-12.466667,-41.45
2019-10-09T14:16:35Z,Mimosa lewisii,04615,Brasil,Bahia,Salvador,"Região Metropolitana Salvador, Lagoa do Abaeté",-12.966667,-38.5
2019-10-09T14:16:35Z,Mimosa lewisii,052624,Brasil,Bahia,Entre Rios,restinga de Massarandupió,-12.329167,-37.89
2019-10-09T14:16:35Z,Mimosa lewisii,110748,Brasil,Bahia,Tucano,NA,-11.415,-38.75
2019-10-09T14:16:35Z,Mimosa lewisii,112256,Brasil,Bahia,Jeremoabo,NA,-10.204444,-38.535556
2019-10-09T14:16:35Z,Mimosa lewisii,123453,Brasil,Bahia,Morro do Chapéu,Cachoeira do Ferro Doido.,-11.216667,-41.15
2019-10-09T14:16:35Z,Mimosa lewisii,126367,Brasil,Bahia,Lauro de Freitas,"UNIDUNAS, parcela nº3.",-12.92,-38.318333
2019-10-09T14:16:35Z,Mimosa lewisii,126438,Brasil,Bahia,Mata de São João,Ponto 01.,-12.516667,-38.283333
2019-10-09T14:16:35Z,Mimosa lewisii,37264,Brasil,Bahia,Lençóis,"Chapada Diamantina, Serra da Chapadinha",-12.45,-41.433333
2019-10-09T14:16:35Z,Mimosa lewisii,52527,Brasil,Bahia,Entre Rios,"Litoral Norte, Massarandupió, a 20 km de Porto de Sauípe.",-12.311667,-37.8375
2019-10-09T14:16:35Z,Mimosa lewisii,53650,Brasil,Bahia,Itaête,"Paraguaçu, Assentamento Baixão. Próximo ao rio Una, depois da ponte. Área de reserva degradada",-12.9863996505737,-40.9724998474121
2019-10-09T14:16:35Z,Mimosa lewisii,58001,Brasil,Bahia,Salvador,"Região Metropolitana Salvador, Dunas do Abaeté",-12.933333,-38.35
2019-10-09T14:16:36Z,Mimosa lewisii,62883,Brasil,Bahia,Ribeira do Pombal,"Nordeste, Tabuleiro",-10.833333,-38.533333
2019-10-09T14:16:36Z,Mimosa lewisii,66349,Brasil,Bahia,Canudos,"Nordeste, Reserva Biológica de Canudos - Biodiversitas",-9.942778,-38.988056
2019-10-09T14:16:36Z,Mimosa lewisii,67729,Brasil,Bahia,Morro do Chapéu,Piemonte da Diamantina,-11.635833,-41.001389
2019-10-09T14:16:36Z,Mimosa lewisii,80829,Brasil,Bahia,Ibicoara,"Chapada Diamantina, Caminho para a Cachoeira do Buração",-13.315556,-41.160556
2019-10-09T14:16:36Z,Mimosa lewisii,82006,Brasil,Bahia,Andaraí,Chapada Diamantina,-12.851111,-41.309722
2019-10-09T14:16:36Z,Mimosa lewisii,82952,Brasil,Bahia,Canudos,"Nordeste, Reserva Biológica, Esquentada",-9.949444,-38.98
2019-10-09T14:16:36Z,Mimosa lewisii,93470,Brasil,Bahia,Mucugê,Chapada Diamantina,-12.945,-41.274444
2019-10-09T14:16:36Z,Mimosa lewisii,94604,Brasil,Bahia,Jeremoabo,"Nordeste, Muro",-10.029167,-38.301111
2019-10-09T14:16:36Z,Mimosa lewisii,94755,Brasil,Bahia,Mucugê,"Chapada Diamantina, Trilha para o Rio Paraguaçu, início na estação de tratamento de água",-13.000278,-41.391389
2019-10-09T14:16:36Z,Mimosa lewisii,95851,Brasil,Bahia,Jeremoabo,"Nordeste, Baixa dos Quelés",-9.983333,-38.437778
2019-10-09T14:16:36Z,Mimosa lewisii,95855,Brasil,Bahia,Jeremoabo,"Nordeste, Baixa dos Quelés",-9.983056,-38.44
2019-10-09T14:16:35Z,Mimosa lewisii,NA,Brasil,Bahia,Lençóis,"Chapada Diamantina, Serra da Chapadinha",-12.433333,-41.45
2020-07-23T15:14:33Z,Mimosa lewisii,10416,Brasil,Bahia,SENTO SÉ,"16Km ao W de Lagoinha (5.5Km SW Delfino), Rod. p/ Minas do Mimoso.",-10.366667,-41.333333
2020-07-23T15:14:33Z,Mimosa lewisii,17417,Brasil,Bahia,ANDARAÍ,"Serra de Andarai/Capa Bode, estr. p/ Mucuge.",-12.8072004318237,-41.3314018249512
2020-07-23T15:14:33Z,Mimosa lewisii,25205,Brasil,Bahia,LENÇÓIS,"Serra do Sincora. 6Km ao N Cascavel, Rod. p/ Mucuge.",-13.1,-41.416667
2020-07-23T15:14:33Z,Mimosa lewisii,30244,Brasil,Bahia,LENÇÓIS,"Ca. 8-10Km ao NW Lençóis, estrada p/ Barro Branco.",-12.533333,-41.333333
2020-07-23T15:14:33Z,Mimosa lewisii,30276,Brasil,Bahia,SALVADOR,Ca. 30Km ao N da cidade. Arredores do Aeroporto.,-12.916667,-38.3
2020-07-23T15:14:33Z,Mimosa lewisii,35140,Brasil,Bahia,RIBEIRA DO POMBAL,1Km a W do povoado de Tapera.,-10.833333,-38.55
