ID,Estado,Municipio,Localidade,Longitude,Latitude,Data_de_coleta,Nome_do_coletor,Referencia
CMUFV3532,Minas Gerais,Itambé do Mato Dentro,NA,-43.349444,-19.410278,NA,Leonardo Dias,"Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1979"
MBML 3037,Espírito Santo,Santa Teresa,Estação Biológica de Santa Lúcia,-40.540000,-19.970000,NA,NA,"Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1980"
MBML 3282,Espírito Santo,Santa Leopoldina,Pedra Suíça,-40.200000,-20.100000,NA,NA,"Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1981"
(MBML 3291,Espírito Santo,Santo Izidório,Rio Bananal,-40.313333,-19.260000,NA,NA,"Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1982"
NA,Espírito Santo,Sooretama,Reserva Ecológica de Sooretama,-40.160000,-19.030000,NA,"Pimenta, V.T., C.T. Machel, B.S. Fonseca and A.D. Ditchfield. 2010","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1983"
NA,Rio de Janeiro,Rio de Janeiro,Parque Estadual de Pedra Branca,-43.380000,-23.870000,NA,"Dias, D., A.L. Peracchi and S.S.P. Silva. 2002.","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1984"
NA,Rio de Janeiro,Rio de Janeiro,Reserva do Grajaú,-43.270000,-22.970000,NA,"Esberárd, C.E.L. ","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1985"
NA,Rio de Janeiro,Rio de Janeiro,Açude Solidão,-43.280000,-22.950000,NA,"Esberárd, C.E.L. ","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1986"
NA,Rio de Janeiro,Rio de Janeiro,Jardim Botânico do Rio de Janeiro,-43.230000,-22.936667,NA,"Esberárd, C.E.L. ","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1987"
NA,Rio de Janeiro,Rio de Janeiro,Parque do Penhasco Dois Irmãos,-43.240000,-22.980000,NA,"Esberárd, C.E.L. ","Artigo: Nascimento, M. C., L. H. Dias, R. Gregorin, & G. Lessa. 2013. Rediscovery of Lonchophylla bokermanni Sazima, Vizotto and Taddei, 1988"
