Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.35541E-12,0.000000002,0.000000009,0.999714286,0,0
8.04558E-12,0.000000003,0.000000011,0.999428571,0,0
1.2461E-11,0.00000001,0.000000017,0.998428571,0,0
1.77074E-11,0.000000026,0.000000025,0.997,0,0
7.68887E-11,0.000000108,0.000000107,0.994285714,0,0
1.15048E-10,0.000000256,0.00000016,0.992,0,0
1.85851E-10,0.000001002,0.000000258,0.984857143,0,0
3.16737E-10,0.000002512,0.00000044,0.976,0,0
8.10762E-10,0.000010055,0.000001126,0.957,0,0
1.44495E-9,0.000025037,0.000002007,0.937428571,0,0
2.26521E-9,0.000050116,0.000003146,0.917857143,0,0
3.83031E-9,0.000100129,0.00000532,0.893857143,0,0
1.3168E-8,0.000250581,0.000018288,0.864428571,0,0
2.86747E-8,0.000502825,0.000039823,0.846714286,0.038461538,0
5.29325E-8,0.001000042,0.000073509,0.828857143,0.038461538,0
1.10296E-7,0.002508583,0.00015316,0.801142857,0.038461538,0
1.98177E-7,0.005002345,0.000275161,0.777142857,0.038461538,0
3.84385E-7,0.010016168,0.000533564,0.751714286,0.038461538,0
7.58206E-7,0.025074828,0.001051919,0.712714286,0.038461538,0
1.36876E-6,0.050078433,0.001897378,0.679,0.038461538,0
2.35869E-6,0.100006294,0.00326515,0.64,0.038461538,0
4.36062E-6,0.200188365,0.00601975,0.596285714,0.038461538,0
6.22121E-6,0.300275634,0.008566254,0.569,0.038461538,0
8.01516E-6,0.400636524,0.011009222,0.548714286,0.038461538,0
1.00263E-5,0.500342305,0.013733636,0.532857143,0.038461538,0
1.1763E-5,0.600265775,0.016074296,0.519714286,0.038461538,0
1.34116E-5,0.700877167,0.018286,0.508285714,0.038461538,0
1.42292E-5,0.750797665,0.019379111,0.503142857,0.038461538,0
1.49406E-5,0.800376939,0.020328328,0.498285714,0.038461538,0
1.62419E-5,0.900285878,0.022059856,0.489142857,0.038461538,0
1.76595E-5,1.001572996,0.023939094,0.480571429,0.038461538,0
1.87658E-5,1.100143327,0.025400642,0.472857143,0.038461538,0
1.99923E-5,1.200359787,0.027015935,0.465428571,0.038461538,0
2.13228E-5,1.301410134,0.028762229,0.458428571,0.038461538,0
2.24283E-5,1.40193031,0.030208373,0.451857143,0.038461538,0
2.40128E-5,1.50177012,0.032273662,0.445714286,0.038461538,0
2.66375E-5,1.750102239,0.035675412,0.431714286,0.038461538,0
2.97568E-5,2.000644876,0.039687276,0.419,0.038461538,0
3.2633E-5,2.250443516,0.043357055,0.407571429,0.038461538,0
3.51898E-5,2.501859072,0.046595771,0.397,0.038461538,0
3.7659E-5,2.752897038,0.049702805,0.387142857,0.038461538,0
4.07126E-5,3.003258178,0.05351731,0.378,0.038461538,0
4.27312E-5,3.25323957,0.0560221,0.369428571,0.038461538,0
4.53568E-5,3.503839139,0.059260338,0.361285714,0.038461538,0
4.84716E-5,3.75298077,0.063073308,0.353714286,0.038461538,0
5.15318E-5,4.002651896,0.06678935,0.346571429,0.038461538,0
5.52492E-5,4.254593264,0.071264077,0.339857143,0.038461538,0
5.84722E-5,4.504520406,0.075109036,0.333571429,0.038461538,0
6.06315E-5,4.754102679,0.077667324,0.327571429,0.038461538,0
6.35053E-5,5.002129776,0.081050231,0.321857143,0.038461538,0
6.65554E-5,5.255683366,0.08461358,0.316285714,0.038461538,0
6.8921E-5,5.506570224,0.087358285,0.311,0.038461538,0
7.21236E-5,5.753120164,0.091048016,0.306,0.038461538,0
7.46933E-5,6.002294394,0.093987128,0.301142857,0.038461538,0
7.7654E-5,6.254023543,0.097349967,0.296428571,0.038461538,0
8.13037E-5,6.507933292,0.101461091,0.291857143,0.038461538,0
8.43706E-5,6.757600007,0.104886961,0.287571429,0.038461538,0
8.65009E-5,7.005082872,0.107251199,0.283428571,0.038461538,0
8.85039E-5,7.250537435,0.109462889,0.279428571,0.038461538,0
9.12563E-5,7.502180926,0.112484194,0.275428571,0.038461538,0
9.37768E-5,7.752747489,0.115232939,0.271571429,0.038461538,0
9.62217E-5,8.00890317,0.117883158,0.267714286,0.038461538,0
9.87683E-5,8.25308713,0.120626644,0.264142857,0.038461538,0
1.01748E-4,8.503899138,0.12381528,0.260571429,0.038461538,0
1.0531E-4,8.752872983,0.127596409,0.257142857,0.038461538,0
1.07441E-4,9.008434469,0.12984346,0.253714286,0.038461538,0
1.10275E-4,9.259295891,0.132813118,0.250428571,0.038461538,0
1.12444E-4,9.504380501,0.135072708,0.247285714,0.038461538,0
1.14849E-4,9.754688614,0.137564038,0.244142857,0.038461538,0
1.18064E-4,10.010569652,0.140872908,0.241,0.076923077,0
1.20456E-4,10.261033586,0.143317766,0.238,0.076923077,0
1.23448E-4,10.50466898,0.146357136,0.235142857,0.076923077,0
1.26388E-4,10.755225059,0.149322305,0.232285714,0.076923077,0
1.29319E-4,11.011132822,0.152257482,0.229428571,0.076923077,0
1.31475E-4,11.258954045,0.154403634,0.226714286,0.076923077,0
1.347E-4,11.511028722,0.157594853,0.224,0.076923077,0
1.36125E-4,11.754572054,0.158996801,0.221428571,0.076923077,0
1.38106E-4,12.001431854,0.160938472,0.218857143,0.076923077,0
1.40396E-4,12.252250029,0.163170827,0.216285714,0.076923077,0
1.42846E-4,12.507185319,0.165546964,0.213714286,0.076923077,0
